0;0;0;0,212359927
-0,000988726;-0,050996953;-0,240143959;
-0,001710131;-0,08703561;-0,409849502;
-0,002086391;-0,106837762;-0,503097563;
-0,002243172;-0,116278804;-0,547555302;
-0,002496494;-0,118482505;-0,557932504;
-0,00280325;-0,115444501;-0,543626583;
-0,002834568;-0,1157266;-0,544954982;
-0,002879931;-0,116359476;-0,547935187;
-0,003017351;-0,117660605;-0,554062188;
-0,00344702;-0,121501076;-0,57214691;
-0,003809199;-0,124295163;-0,585304226;
-0,004097992;-0,126343002;-0,594947475;
-0,00433211;-0,127861939;-0,602100126;
-0,004507265;-0,129181265;-0,608312817;
-0,004641598;-0,12958486;-0,610213339;
-0,004860647;-0,131905428;-0,621140863
-0,005023393;-0,132798999;-0,625348677
-0,005023656;-0,132800194;-0,625354303
-0,00536376;-0,134344899;-0,6326283
-0,005364729;-0,133730285;-0,629734087
-0,005621627;-0,136004982;-0,640445605
-0,005814379;-0,136142072;-0,641091162
-0,005957167;-0,132874727;-0,625705276
-0,006277305;-0,134267772;-0,632265109
-0,006277985;-0,132669806;-0,624740308
-0,006285889;-0,134250058;-0,632181693
-0,006625769;-0,133634572;-0,629283377
-0,006850726;-0,142162879;-0,669443058
-0,007057549;-0,129512383;-0,609872047
-0,007329774;-0,130370777;-0,613914211
-0,006696395;-0,094227997;-0,443718352
-0,00624;-0,062240995;-0,293091996
-0,005981161;-0,052075367;-0,245222193
-0,005703539;-0,03258611;-0,153447547
-0,005518272;-0,020967131;-0,098733936
-0,005435788;-0,017172132;-0,080863336
-0,005366947;-0,014430704;-0,067953988
-0,005298637;-0,012279286;-0,057822989
-0,005211933;-0,009724797;-0,045793936
-0,005121504;-0,00730413;-0,034395047
-0,005005901;-0,004394412;-0,020693226
-0,00489407;-0,001627958;-0,007666032
-0,00479737;0,000766822;0,003610954
-0,004651922;0,004371081;0,020583361
-0,004351744;0,010712276;0,050443961
-0,004213324;0,012246355;0,05766792
-0,003942069;0,018520183;0,087211289
-0,003465114;0,028821049;0,135717927
-0,003288435;0,033691137;0,158651103
-0,002942462;0,043287249;0,203839066
-0,002933015;0,043553262;0,205091718
-0,002919976;0,043920474;0,206820912
-0,002861477;0,045568305;0,214580529
-0,002693156;0,050287997;0,236805494
-0,00267924;0,050681294;0,238657521
-0,002678437;0,050704014;0,238764513
-0,002558046;0,054466739;0,256483132
-0,002507788;0,05623402;0,264805234
-0,002457627;0,057689539;0,271659253
-0,002407715;0,059105156;0,278325372
-0,002389985;0,059446815;0,27993424
-0,002284644;0,061235203;0,288355735
-0,001969152;0,062741956;0,295451015
-0,00153049;0,064343755;0,302993866
-0,001238684;0,065393615;0,30793764
-0,00039159;0,061473464;0,289477702
-0,000373364;0,061539069;0,289786639
0,000584908;0,065206531;0,307056666
0,000949712;0,066599593;0,313616576
0,001040291;0,067052896;0,315751172
0,00156172;0,068576294;0,322924832
0,002782055;0,072737033;0,342517699
0,004009035;0,07988702;0,37618689
0,004514221;0,074203334;0,349422489
0,004566213;0,073874782;0,347875342
0,004647869;0,074790837;0,352189031
0,003793354;0,044600292;0,210022167
0,003287642;0,028786473;0,135555108
0,002990961;0,020431578;0,096212024
0,002614323;0,010033265;0,047246509
0,001928787;-0,004561945;-0,021482136
0,001742757;-0,009420576;-0,044361362
0,001533714;-0,014591231;-0,068709907
0,001247318;-0,022585568;-0,10635513
0,000561379;-0,041181632;-0,193923742
0,000411992;-0,045320625;-0,213414205
-1,12097E-05;-0,047380132;-0,223112396
-0,000744391;-0,049961905;-0,235269928
-0,001089675;-0,05118468;-0,241027962
-0,001938908;-0,053597588;-0,25239031
-0,00305013;-0,056138345;-0,2643547
-0,003977583;-0,058046488;-0,27334012
-0,004460294;-0,059748618;-0,281355426
-0,004778554;-0,063111873;-0,297192951
-0,004907861;-0,063602304;-0,299502381
-0,004983923;-0,063970881;-0,301238005
-0,005157992;-0,064889535;-0,305563937
-0,005312608;-0,065855777;-0,310113958
-0,005466562;-0,066687366;-0,314029898
-0,00563982;-0,067677961;-0,318694594
-0,005722564;-0,067704954;-0,318821706
-0,005845541;-0,0687543;-0,323763063
-0,005870176;-0,070112221;-0,330157493
-0,005883587;-0,070805572;-0,333422472
-0,005883849;-0,07098477;-0,334266313
-0,00592198;-0,077666392;-0,36572998
-0,005929855;-0,078146277;-0,367989755
-0,005932001;-0,075889301;-0,357361683
-0,006081164;-0,08197707;-0,386028907
-0,006277398;-0,090592113;-0,426597023
-0,006437412;-0,093845345;-0,441916452
-0,006620953;-0,09850306;-0,463849567
-0,006809821;-0,113861842;-0,536173862
-0,00693881;-0,105825156;-0,498329217
